gene,baseMean,log2FC,lfcSE,stat,pvalue,padj,gene_symbol,significant,significance_rule,deseq_design_formula,deseq_covariates
ENSG00000144320,2872.240740121581,-0.08804808245529615,0.11023714243009997,-0.7987152108113322,0.4244555647942143,0.8599086749843906,LNPK,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000101940,2577.979201323767,-0.06976161661339153,0.08734810768824348,-0.7986620255401481,0.4244864117600543,0.8599086749843906,WDR13,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000197106,4829.710737632326,-0.2210258353718231,0.2767680734939643,-0.7985958516875076,0.4245247938125033,0.8599086749843906,SLC6A17,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000200215,8.35778828579495,-0.3402464737689321,0.42606531285550103,-0.798578207384664,0.42453502817542066,0.8599086749843906,SNORD113-6,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000143373,1663.3300051079732,0.07963684151462447,0.09972693353514392,0.7985489846287144,0.4245519787962122,0.8599086749843906,ZNF687,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000125741,978.5423539720223,-0.07846763801109845,0.09826720027749378,-0.7985130113559362,0.42457284558850517,0.8599086749843906,OPA3,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000279812,21.133091629000937,0.3267656211610933,0.40923047936105245,0.7984879857220929,0.42458736240560757,0.8599086749843906,,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000189136,318.99579983182593,0.12865285794279702,0.16114833950459,0.7983505032587233,0.42466711811832547,0.8599365198956777,UBE2Q2P1,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000139083,405.2222105484785,-0.20763411219164596,0.26017362196472926,-0.79805981338029,0.42483578065559735,0.8599365198956777,ETV6,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000245937,956.6141834425387,-0.09812058698568935,0.12296769757211622,-0.7979379050188776,0.42490652532460815,0.8599365198956777,SLC12A2-DT,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000174444,6219.173706699752,0.09967059134968813,0.1249151417457783,0.7979064023521925,0.42492480776329644,0.8599365198956777,RPL4,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000270175,51.19878331851138,0.14098784463406003,0.17670299833795042,0.7978803187279032,0.42493994563154514,0.8599365198956777,,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000160049,1454.228874785646,-0.07493323019159447,0.09391544543886245,-0.7978797293824783,0.42494028766715464,0.8599365198956777,DFFA,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000145545,533.925084397629,-0.11477649778287555,0.143854162750981,-0.7978670591657441,0.4249476410596519,0.8599365198956777,SRD5A1,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000178700,212.70176333360277,-0.08631131383315305,0.10818119964963656,-0.797840235758959,0.4249632087606612,0.8599365198956777,DHFR2,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000236209,28.465977304849794,-1.8981065674866209,2.379106522197082,-0.7978232793602439,0.4249730500443485,0.8599365198956777,,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000235963,9.919465155061802,-0.4258186496399556,0.533726424967839,-0.7978219359583225,0.42497382974386777,0.8599365198956777,MCCD1P1,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000152782,325.9618512201237,-0.2074067873865054,0.26004361997429903,-0.7975846029485517,0.42511158900164525,0.860133315219489,PANK1,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000270091,37.58516485294969,0.1531029401716699,0.19197236475845622,0.7975259374666106,0.42514564523071485,0.860133315219489,,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000079841,3116.906180376669,0.09269355826325804,0.11626296147391249,0.7972750486323794,0.42529130809791016,0.8602376016791355,RIMS1,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000087076,338.234966374536,-0.14835137899893772,0.1860792977305498,-0.7972481668205584,0.4253069170644793,0.8602376016791355,HSD17B14,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000106245,436.7673915647929,0.1196717090778706,0.15010666008119516,0.7972444994321918,0.4253090465652696,0.8602376016791355,BUD31,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000120458,353.37269234136295,0.08434173455329456,0.10580542949339847,0.7971399478942327,0.42536975793935605,0.8602849802924984,MSANTD2,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000178761,2872.8166677633644,-0.05217625034777632,0.06547428930580537,-0.7968967804153019,0.4255109809009988,0.8604041782322512,FAM219B,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000233830,8.620691630653008,-0.35516434741797204,0.44573308982946475,-0.7968094707840877,0.4255616938851414,0.8604041782322512,EIF4HP1,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
