C,lambda,mean_auc,std_auc,n_folds
100.0,0.01,0.9,0.13333333333333333,40
74.43803013251681,0.013433993325989014,0.8916666666666666,0.14695993407123667,40
55.41020330009481,0.018047217668271737,0.8875,0.1508655582519306,40
41.24626382901348,0.02424462017082331,0.8875,0.1508655582519306,40
17.012542798525857,0.05878016072274924,0.8833333333333334,0.15000000000000002,40
30.702906297578497,0.03257020655659783,0.8833333333333332,0.15456030825826172,40
22.854638641349883,0.04375479375074189,0.8833333333333332,0.15456030825826172,40
12.663801734674022,0.07896522868499732,0.875,0.1613743060919757,40
9.426684551178845,0.10608183551394493,0.8666666666666666,0.1674979270186815,40
7.017038286703823,0.14251026703029993,0.8625,0.17032444529974747,40
5.223345074266838,0.19144819761699594,0.8625,0.17032444529974747,40
3.888155180308085,0.25719138090593474,0.8583333333333332,0.16894279110594412,40
2.894266124716749,0.3455107294592222,0.8541666666666666,0.17554478694117412,40
2.154434690031882,0.46415888336127825,0.85,0.17795130420052185,40
1.6037187437513294,0.6235507341273918,0.85,0.18181186857726192,40
0.6614740641230146,1.5117750706156632,0.8458333333333334,0.18777757232072917,40
0.49238826317067363,2.030917620904737,0.8458333333333334,0.18777757232072917,40
1.1937766417144358,0.8376776400682924,0.8458333333333332,0.1950338289744742,40
0.8886238162743398,1.1253355826007656,0.8416666666666666,0.19346977943739832,40
0.2728333376486767,3.6652412370796297,0.8333333333333333,0.18633899812498247,40
0.3665241237079626,2.7283333764867694,0.8291666666666666,0.19538956812822258,40
0.20309176209047347,4.923882631706742,0.8166666666666667,0.1964971020425266,40
0.11253355826007645,8.886238162743407,0.5,0.0,40
0.08376776400682916,11.93776641714437,0.5,0.0,40
0.062355073412739125,16.03718743751331,0.5,0.0,40
0.046415888336127774,21.544346900318843,0.5,0.0,40
0.03455107294592218,28.942661247167518,0.5,0.0,40
0.025719138090593445,38.88155180308089,0.5,0.0,40
0.019144819761699575,52.23345074266843,0.5,0.0,40
0.014251026703029978,70.1703828670383,0.5,0.0,40
0.010608183551394482,94.26684551178855,0.5,0.0,40
0.007896522868499725,126.63801734674034,0.5,0.0,40
0.0058780160722749115,170.12542798525894,0.5,0.0,40
0.004375479375074184,228.54638641349908,0.5,0.0,40
0.0032570206556597828,307.029062975785,0.5,0.0,40
0.0024244620170823282,412.4626382901352,0.5,0.0,40
0.0018047217668271701,554.1020330009492,0.5,0.0,40
0.0013433993325989001,744.3803013251688,0.5,0.0,40
0.001,1000.0,0.5,0.0,40
0.15117750706156616,6.614740641230152,0.4958333333333334,0.02602082499332665,40
