item,auc,ci95_low,ci95_high
LYN,0.91,0.6922619047619047,1.0
NMI,0.8999999999999999,0.7272227772227773,1.0
TIMP1,0.89,0.706976356976357,1.0
MSR1,0.8899999999999999,0.6868686868686869,1.0
TLR3,0.88,0.6999242424242423,1.0
FZD5,0.86,0.6428571428571428,1.0
CMKLR1,0.82,0.5714285714285714,1.0
