gene_symbol,coefficient
MSR1,6.208174541837037
NMI,4.315508375830356
FZD5,3.311307550498006
TIMP1,2.8826396448720706
CMKLR1,-2.8002456561637086
LYN,2.2165461752647753
TLR3,2.108506605102358
