gene_symbol,mean_dm_mem,mean_non_dm_mem,mean_normal_retina,delta_dm_vs_nondm_mem,delta_dm_vs_normal_retina,pvalue_dm_vs_nondm_mem,direction_match_primary,padj_dm_vs_nondm_mem
RGS1,4.216648760409953,2.85495293739885,1.3310717992062637,1.361695823011103,2.8855769612036895,0.15367530702502652,1,0.48489575119639916
TIMP1,2.7798623606935644,2.064617279044491,0.11114124457506393,0.7152450816490732,2.6687211161185003,0.37714113981942154,1,0.48489575119639916
FZD5,0.9619134453593686,0.4766070682779745,1.4085833302435333,0.4853063770813941,-0.4466698848841647,0.20881610296176123,1,0.48489575119639916
CMKLR1,0.9186772284063001,0.6253364669625336,0.045834507916645006,0.2933407614437664,0.872842720489655,0.34154716405356433,1,0.48489575119639916
LYN,0.9056145569167178,0.7172360525327933,0.15895356389169948,0.18837850438392445,0.7466609930250183,0.3590669786929601,1,0.48489575119639916
TLR3,0.3568195151799379,0.24480805484358603,0.16239253612971596,0.11201146033635184,0.1944269790502219,0.3245842757031947,1,0.48489575119639916
OPRK1,0.16114309598190893,0.06267239187844378,0.07408271487280103,0.09847070410346515,0.0870603811091079,0.19677448803518205,1,0.48489575119639916
MSR1,0.5346605059426354,0.44338346114690974,0.0238311991235373,0.09127704479572563,0.5108293068190981,0.5186693578410906,1,0.583503027571227
RNF144B,0.7958990542374635,0.7369013906435614,0.2501221309871897,0.05899766359390213,0.5457769232502738,0.8919214874136465,1,0.8919214874136466
