cell_type,gene_symbol,n_donors,donor_mean_expm1_expression,donor_sd_expm1_expression,donor_min_expm1_expression,donor_max_expm1_expression,donor_mean_detection_fraction,donor_sd_detection_fraction,donor_min_detection_fraction,donor_max_detection_fraction
Horizontal cells,SLC31A1,3,0.03173333841066747,0.05496375442105307,0.0,0.09520001523200242,0.007936507936507936,0.013746434980705375,0.0,0.023809523809523808
Microglia,TLR2,3,0.3500726213824454,0.16071490963139723,0.25694655968000746,0.5356498049364502,0.12283859911654145,0.0653689497728355,0.08333333333333333,0.198292220113852
Bipolar cells,TLR2,3,0.0007109615627162658,0.001231421548853139,0.0,0.0021328846881487973,0.0002858776443682104,0.0004951546047938471,0.0,0.0008576329331046312
Amacrine cells,TLR2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cone photoreceptors,TLR2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Endothelial cells,TLR2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horizontal cells,TLR2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Müller-enriched glia,TLR2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pericytes,TLR2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retinal ganglion cells,TLR2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rod photoreceptors,TLR2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
