workflow,model,design_formula,n_samples,n_pdr,n_control,n_expressed_genes,dispersion_fit_type,base_mean,log2_fold_change_pdr_vs_control,lfc_se,wald_statistic,wald_p_two_sided,wald_p_one_sided_greater,bh_adjusted_p_all_expressed_genes,lfc_ci_low_95,lfc_ci_high_95,design_rank,design_columns,design_condition_number,refit_cooks,cooks_filter,p2rx4_max_cooks_distance,p2rx4_replaced,p2rx4_refitted,p2rx4_dispersion,analysis_role
all_regions_source_reconstruction,disease_only,~diagnosis,17,8,9,44854,mean,2303.3957153398346,0.29457265461702686,0.5861285925381331,0.502573425639293,0.6152642168527742,0.3076321084263871,0.9992961935682126,-0.854239386757714,1.4433846959917678,2,2,2.6927637156695297,True,True,0.3831057451111015,False,False,0.6986442929516161,post-protocol raw-read reconstruction
primary_assembly_sensitivity,disease_only,~diagnosis,17,8,9,46159,mean,2308.338306717297,0.28944674336684617,0.5870497909624739,0.49305314101602077,0.6219750393411363,0.31098751967056815,0.9982701381143589,-0.8611708469196027,1.440064333653295,2,2,2.6927637156695297,True,True,0.38689313165912215,False,False,0.7008442949365258,post-protocol raw-read reconstruction
all_regions_source_reconstruction,age_sex_adjusted,~age_per_10y_centered + sex + diagnosis,17,8,9,44854,mean,2303.3957153398346,0.4201961082302154,0.8085344184061123,0.5197009535581186,0.6032720221895256,0.3016360110947628,0.9998905062152657,-1.1645313518457645,2.0049235683061952,4,4,4.807977813805094,True,True,0.26689770571699845,False,False,0.7888665765713639,post-protocol raw-read reconstruction
all_regions_source_reconstruction,source_adjusted,~source_reused + diagnosis,17,8,9,44854,mean,2303.3957153398346,0.8079320008199317,0.9751420387457784,0.8285275054484255,0.40737182447961895,0.20368591223980947,0.9862633307793519,-1.103346395121794,2.719210396761657,3,3,5.5999511520616085,True,True,0.2554155706241235,False,False,0.7305776080705457,post-protocol raw-read reconstruction
all_regions_source_reconstruction,source_age_sex_adjusted,~source_reused + age_per_10y_centered + sex + diagnosis,17,8,9,44854,mean,2303.3957153398346,0.9344683702858612,1.1524097195957879,0.8108820625130007,0.41743340220501157,0.20871670110250579,0.9999112531882116,-1.3242546801218829,3.193191420693605,5,5,7.033781980430266,True,True,0.21373982721055682,False,False,0.8269633432754367,post-protocol raw-read reconstruction
all_regions_source_reconstruction,disease_only_without_PDR_S10,~diagnosis,16,7,9,44854,mean,2682.1767066975585,0.4962906292778145,0.30622033652619585,1.620697811607816,0.10508246320350323,0.052541231601751615,0.9341028722188757,-0.10390123031352932,1.0964824888691582,2,2,2.791469712875706,True,True,0.2954918223012918,False,False,0.1770396041925672,post-protocol raw-read reconstruction
all_regions_source_reconstruction,new_profiles_only_8_vs_2,~diagnosis,10,8,2,44854,mean,2800.2172207128606,0.8420593232505047,1.2652122752925048,0.6655478607776144,0.5057001422049586,0.2528500711024793,0.9630292604716144,-1.6377567363228047,3.321875382823814,2,2,2.618033988749895,False,False,0.3813978783709557,,,1.2301359943394758,post-protocol raw-read reconstruction
