method,n_held_out_donors,auc,brier_score,log_loss,interpretation
nested_total_association_top5,26,0.6812500000000001,0.27127878364577007,0.9352783334897199,internal falsification audit; not a clinical performance estimate
covariate_only,26,0.46874999999999994,0.27246832242864877,0.752424232915549,internal falsification audit; not a clinical performance estimate
