contrast,multiplicity_family,gene_symbol,case_group,control_group,n_case_donors,n_control_donors,mean_difference,cliff_delta,mannwhitney_pvalue,covariate_adjusted_case_beta,covariate_adjusted_case_pvalue_t,covariate_adjusted_residual_df,covariate_adjusted_estimable,mannwhitney_padj_within_contrast_158,mannwhitney_padj_global_790,adjusted_padj_within_contrast_158,adjusted_padj_global_estimable_contrasts
PDR_DME_vs_diabetes,exploratory_contrast_family,TLR2,PDR + DME,Diabetic,2,10,0.6912349407754395,1.0,0.030303030303030304,,,,False,0.2816399286987522,0.3594636414754933,,
PDR_DME_vs_diabetes,exploratory_contrast_family,TLR3,PDR + DME,Diabetic,2,10,0.384469343611034,0.6,0.2727272727272727,,,,False,0.6629370629370629,0.7778142435182146,,
PDR_DME_vs_diabetes,exploratory_contrast_family,TNFRSF1B,PDR + DME,Diabetic,2,10,1.100008591801506,0.8,0.12121212121212122,,,,False,0.47878787878787876,0.5873045784317557,,
PDR_DME_vs_diabetes,exploratory_contrast_family,TNFSF10,PDR + DME,Diabetic,2,10,0.44679718362930076,0.6,0.2727272727272727,,,,False,0.6629370629370629,0.7778142435182146,,
PDR_DME_vs_diabetes,exploratory_contrast_family,TNFSF9,PDR + DME,Diabetic,2,10,0.11999358294820861,0.4,0.48484848484848486,,,,False,0.8063795853269538,0.911976911976912,,
PDR_DME_vs_diabetes,exploratory_contrast_family,TPBG,PDR + DME,Diabetic,2,10,0.6012454975529282,0.4,0.48484848484848486,,,,False,0.8063795853269538,0.911976911976912,,
PDR_DME_vs_diabetes,exploratory_contrast_family,VIP,PDR + DME,Diabetic,2,10,-0.5805760319456226,-0.7,0.18181818181818182,,,,False,0.6383838383838384,0.7006651884700665,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ABCA1,PDR + DME,NPDR + DME,2,5,0.48240380187899756,0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ABI1,PDR + DME,NPDR + DME,2,5,0.08562837677425694,0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ACVR1B,PDR + DME,NPDR + DME,2,5,0.0196900331582599,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ACVR2A,PDR + DME,NPDR + DME,2,5,-0.08489745495289291,-0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ADM,PDR + DME,NPDR + DME,2,5,0.8767331245931405,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ADORA2B,PDR + DME,NPDR + DME,2,5,0.06682047341961583,0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ADRM1,PDR + DME,NPDR + DME,2,5,-0.07519111226721176,-0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,AHR,PDR + DME,NPDR + DME,2,5,0.15700107853222267,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,APLNR,PDR + DME,NPDR + DME,2,5,0.28259616675116517,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,AQP9,PDR + DME,NPDR + DME,2,5,-0.09438039507279927,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ATP2A2,PDR + DME,NPDR + DME,2,5,0.015659797910863915,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ATP2B1,PDR + DME,NPDR + DME,2,5,0.19639024322773402,0.8,0.19047619047619047,,,,False,0.974306269270298,0.7034758410469986,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ATP2C1,PDR + DME,NPDR + DME,2,5,0.09955068229000208,0.8,0.19047619047619047,,,,False,0.974306269270298,0.7034758410469986,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,AXL,PDR + DME,NPDR + DME,2,5,0.27877409551182364,0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,BEST1,PDR + DME,NPDR + DME,2,5,-0.16668484948949303,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,BST2,PDR + DME,NPDR + DME,2,5,0.020685154923352433,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,BTG2,PDR + DME,NPDR + DME,2,5,-0.31863915396226083,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,C3AR1,PDR + DME,NPDR + DME,2,5,-0.07683083990245798,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,C5AR1,PDR + DME,NPDR + DME,2,5,0.16680469082395488,0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CALCRL,PDR + DME,NPDR + DME,2,5,0.03708701866458752,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CCL2,PDR + DME,NPDR + DME,2,5,0.272703353456095,0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CD14,PDR + DME,NPDR + DME,2,5,-0.016262374067904428,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CD40,PDR + DME,NPDR + DME,2,5,0.2377704486291703,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CD55,PDR + DME,NPDR + DME,2,5,-0.034322164070169414,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CD82,PDR + DME,NPDR + DME,2,5,-0.05887908402809927,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CDKN1A,PDR + DME,NPDR + DME,2,5,-0.06513948744062503,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CHST2,PDR + DME,NPDR + DME,2,5,0.1649081297202084,0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CLEC5A,PDR + DME,NPDR + DME,2,5,-0.6578624963370259,-1.0,0.09523809523809523,,,,False,0.974306269270298,0.5743633632718074,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CMKLR1,PDR + DME,NPDR + DME,2,5,0.4458658546923224,0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CSF1,PDR + DME,NPDR + DME,2,5,0.04647891867046017,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CSF3R,PDR + DME,NPDR + DME,2,5,0.2879830323899031,0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CX3CL1,PDR + DME,NPDR + DME,2,5,0.10662268359384797,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CXCL8,PDR + DME,NPDR + DME,2,5,-0.3525600327624445,-0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CXCR6,PDR + DME,NPDR + DME,2,5,-0.07787692409203523,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,CYBB,PDR + DME,NPDR + DME,2,5,0.28697797594224683,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,DCBLD2,PDR + DME,NPDR + DME,2,5,0.30878298668046433,0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,EBI3,PDR + DME,NPDR + DME,2,5,0.0246906656559176,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,EDN1,PDR + DME,NPDR + DME,2,5,-0.39536455237573,-0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,EIF2AK2,PDR + DME,NPDR + DME,2,5,-0.02292070500585286,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,EMP3,PDR + DME,NPDR + DME,2,5,-0.17025289947605193,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,F3,PDR + DME,NPDR + DME,2,5,0.3549901325326399,0.8,0.19047619047619047,,,,False,0.974306269270298,0.7034758410469986,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,FPR1,PDR + DME,NPDR + DME,2,5,0.35448267421322743,0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,FZD5,PDR + DME,NPDR + DME,2,5,0.11524008309731837,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,GABBR1,PDR + DME,NPDR + DME,2,5,-0.02158048036429072,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,GCH1,PDR + DME,NPDR + DME,2,5,0.09841242897776348,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,GNA15,PDR + DME,NPDR + DME,2,5,0.1881741838281752,0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,GNAI3,PDR + DME,NPDR + DME,2,5,-0.015585368046055592,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,GPC3,PDR + DME,NPDR + DME,2,5,-0.28202949311688563,-0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,GPR132,PDR + DME,NPDR + DME,2,5,0.10229274621539686,0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,GPR183,PDR + DME,NPDR + DME,2,5,0.06599518553185169,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,HBEGF,PDR + DME,NPDR + DME,2,5,-0.4402317395276043,-0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,HIF1A,PDR + DME,NPDR + DME,2,5,-0.016291597693296467,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,HPN,PDR + DME,NPDR + DME,2,5,0.3337160502775389,0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
